occurrences,gov_landmark,candidate_1,candidate_2,candidate_3,"stop_id (fill in, or DROP)"
12,شارع النيل,المنيل / Al Manial,النخل (كورنيش النيل) / Al Nakhl (Nile Corniche),بنك فيصل (شارع عثمان بن عفان) / Faisal Bank (Othman Bin Affan St.),
8,مدينة الأمل,مدينة العدالة / Justice City,مدينة الابطال (مدينة ١٥ مايو) / Al Abtal City (15th of May),مدينة الصلب (التبين) / Madinat Al Solb (Al Tibeen),
8,شارع التسعين,متسيان / Motseian,التبين / Al Tibeen,التعاون (شارع الهرم) / Al Taawon (Haram St),
7,عتبة (الجنينة),عزبة النخل / Ezbet Al Nakhl,ميدان العباسية / Abbaseya Square,طريق ترعة المنصورية (ناهيا) / Al Mansoureya Canal Rd. (Nahya),
6,محور المشير,بشاير / Kawkab Al Sharq Cafe - Bashayer,منشية ناصر / Manshiyat Nasser,مدخل بشاير (6 أكتوبر) / Bashayer Entrance (6th of October),
6,الميثاق,المفارق / Mafareq,,,
6,قسم الحدائق,المخيم الدائم (مدينة نصر) / Al Mokhayam Al Daaem (Nasr City),سمسمة ( الدقي) / Simsima (Dokki),الطريق الدائري / Ring Road,
6,شارع الهرم,الأهرام / Al-Ahram,الهرم مشعل / Haram Mashaal,,
6,شارع ربيع الجيزى,الربوة (الشيخ زايد) / Al Rabwa (Sheikh Zayed),مترو الجيزة / Giza Metro,الشارع الجديد (بهتيم) / Al Shari' Al Gadeed (Bahteem),
5,احمد ماهر,ميدان أحمد إسماعيل (ألف مسكن) / Ahmed Ismail Square (Alf Maskan),حامد امام / Hamada Emam - Industrial Zone 2,أحمد حلمي / Ahmed Helmy,
5,عتبة (الجراج),شارع باراجيل (الطريق الدائري) / Barageel St. (Ring Rd.),عبد الله الرفاعي / Abdullah El Refaey,هضبة الاهرام / Hadabet Al Ahram,
4,نادي السكة,نادي الشمس (الف مسكن) / Shams Club (Alf Maskan),نادي القضاة ( الدقي) / Judges Club (Al Dokki),نادي كهربة (روض الفرج) / Kahraba Club (Rod Al Farag),
4,العتبة (الجنينة),عزبة النخل / Ezbet Al Nakhl,ميدان العباسية / Abbaseya Square,طريق ترعة المنصورية (ناهيا) / Al Mansoureya Canal Rd. (Nahya),
4,حسن الأكبر,الحجاز مول (6 أكتوبر) / Al Hegaz Mall (6th of October),المسلة (6 أكتوبر) / Al Massalah (6th of October),الحي السادس (6 أكتوبر) / 6th District (6th of October),
3,كوبري الفطيم,طريق الفيوم / Al Fayoum Rd.,,,
3,الفنج ري,,,,
3,البعوث,البحوث / Bohooth,,,
3,وراق الحضر,وراق العرب / Warraq Al Arab,السوق الحرة (شارع جامعة الدول) / Duty Free (Gameat Al Dowal St.),الوراق / Al Warraq,
3,نادى السكة,نادي الشمس (الف مسكن) / Shams Club (Alf Maskan),نادي القضاة ( الدقي) / Judges Club (Al Dokki),نادي كهربة (روض الفرج) / Kahraba Club (Rod Al Farag),
3,شارع الميثاق,المفارق / Mafareq,,,
3,حدائق زينهم,حدائق الزيتون / Hadayeq El-Zaitoun,حدائق حلوان / Hadayeq Helwan,حدائق القبة / Hadayek Al Qobba,
3,مدينة الامل,مدينة العدالة / Justice City,مدينة الابطال (مدينة ١٥ مايو) / Al Abtal City (15th of May),مدينة الصلب (التبين) / Madinat Al Solb (Al Tibeen),
3,سعد سليم,عدلي منصور / Adly Mansour,مساكن العبد (السلام) / Masaken Al Abd (Al Salam),معهد الشيخ سليم (شارع الاربعين) / Sheikh Selim Institute (Arbean St.),
3,كلية بنات عين شمس,كلية البنات - جامعة عين شمس / Girls' College (Ain Shams University),ميدان النعام ( عين شمس ) / Al Naam Square (Ain Shams),كلية البنات (جامعة الأزهر) / Koleyet Al Banat (Azhar University),
3,ش السراي,عرايس (المعادي) / Arayes (Maadi),كوبري عرابي / Kobry Orabi,ميدان سيراميكا (الشيخ زايد) / Ceramica Square - Sheikh Zayed,
3,نجيب الريحاني,نادي العبور الرياضي / Obour Sporting Club,جاردينيا (طريق القاهرة السويس) / Gardenia (Cairo Suez Rd.),مستشفى الريان (المعادي) / Al Rayan Hospital (Maadi),
3,الفنجري,,,,
3,القللى,قليوب / Qalyub,القلج (المرج) / Al Qalag (Marg),ميدان الدقي / Dokki Square,
3,شارع نجيب الريحانى,نادي العبور الرياضي / Obour Sporting Club,جاردينيا (طريق القاهرة السويس) / Gardenia (Cairo Suez Rd.),مستشفى الريان (المعادي) / Al Rayan Hospital (Maadi),
3,أحمد ماهر,ميدان أحمد إسماعيل (ألف مسكن) / Ahmed Ismail Square (Alf Maskan),حامد امام / Hamada Emam - Industrial Zone 2,أحمد حلمي / Ahmed Helmy,
3,طريق الصعيد,عايدة ( شارع احمد حلمى) / Aida (Ahmed Helmy St.),مساكن العبد (السلام) / Masaken Al Abd (Al Salam),,
3,شارع سعد سليم,عدلي منصور / Adly Mansour,مساكن العبد (السلام) / Masaken Al Abd (Al Salam),معهد الشيخ سليم (شارع الاربعين) / Sheikh Selim Institute (Arbean St.),
3,مصر/ إسكندرية الزراعي,المحور مع اسكندرية الصحراوي / 26th of July Corridor & Alex Desert Rd.,سلم طريق الاسكندرية الصحراوى (محور 26 يوليو) / Alexandria Desert Rd. Steps (26th of July Corrdior),المركز الزراعي (البدرشين) / Agricultural Center (Badrasheen),
3,ربيع الجيزي,الربوة (الشيخ زايد) / Al Rabwa (Sheikh Zayed),مترو الجيزة / Giza Metro,الشارع الجديد (بهتيم) / Al Shari' Al Gadeed (Bahteem),
2,شارع شيخون,الشيخ منصور / Al Sheikh Mansour,,,
2,مدينة السلام سبيكو,مدينة الصلب (التبين) / Madinat Al Solb (Al Tibeen),مدينة الصلب (التبين) / Madinat Al Solb (Al Tibeen),مدينة الطلبة / Madinat Al Talaba,
2,لطفي السيد,نيازي سيد ( طريق المنصورية) / Neiazi Sayed (Al Mansoureyya Rd.),مستشفى الحسين ( الدراسة ) / Al Hussein Hospital (Al Darraasa),شارع الشيخ الجديد / Al Sheikh Al Jadid St.,
2,مساكن الوحدة العربية,القومية العربية / Qawmeya Arabeya Secondary Bus Station,الوحدة (امبابة) / Al Wehda (Imbaba),الحديقة المركزية (بدر) / Central Park (Badr),
2,ذاكر حسين,الجزارين (الوراق) / Al Gazareen (Warraq),مطار سفينكس / Sphinx Airport,,
2,العتبة (الجراج),شارع باراجيل (الطريق الدائري) / Barageel St. (Ring Rd.),عبد الله الرفاعي / Abdullah El Refaey,هضبة الاهرام / Hadabet Al Ahram,
2,كوبري الساحل,ميدان السواح / Al Sawah Square,السنترال (ليلة القدر) / Al Central (Laylat Al Qadr),شارع ترعة الساحل / Al Sawahel Canal St.,
2,مدينة النور,مدينة الزهور (طريق البساتين) / Zohour City (Basateen Rd.),مسجد النور (العباسية) / Al Nour Mosque (Abbaseya),مدينة المعارف / Knowledge City,
