trip_id,start_time,end_time,headway_secs
01ZcX73Vgf4WrcQXQ6ZQj,19:00:00,23:00:00,2700
01ZcX73Vgf4WrcQXQ6ZQj,15:00:00,19:00:00,2700
01ZcX73Vgf4WrcQXQ6ZQj,06:00:00,10:00:00,1350
01ZcX73Vgf4WrcQXQ6ZQj,10:00:00,15:00:00,2700
08ojBRs9Q5XKETiSBt1k6,06:00:00,10:00:00,1910
08ojBRs9Q5XKETiSBt1k6,10:00:00,15:00:00,2700
08ojBRs9Q5XKETiSBt1k6,15:00:00,19:00:00,2700
08ojBRs9Q5XKETiSBt1k6,19:00:00,23:00:00,2700
0B1DaW_i9wMshGIpzWxit,06:00:00,10:00:00,780
0B1DaW_i9wMshGIpzWxit,10:00:00,15:00:00,675
0B1DaW_i9wMshGIpzWxit,15:00:00,19:00:00,755
0B1DaW_i9wMshGIpzWxit,19:00:00,23:00:00,945
0CQ7Vyyu0F25tb_fbXe0P,06:00:00,10:00:00,675
0CQ7Vyyu0F25tb_fbXe0P,19:00:00,23:00:00,900
0CQ7Vyyu0F25tb_fbXe0P,10:00:00,15:00:00,540
0CQ7Vyyu0F25tb_fbXe0P,15:00:00,19:00:00,600
0jXLhzjwqCIz6DOThb9bW,15:00:00,19:00:00,1575
0jXLhzjwqCIz6DOThb9bW,19:00:00,23:00:00,2025
0jXLhzjwqCIz6DOThb9bW,10:00:00,15:00:00,1125
0jXLhzjwqCIz6DOThb9bW,06:00:00,10:00:00,1520
0kBVj_qpOsIrgBHvA34EX,19:00:00,23:00:00,540
0kBVj_qpOsIrgBHvA34EX,10:00:00,15:00:00,110
0kBVj_qpOsIrgBHvA34EX,15:00:00,19:00:00,145
0kBVj_qpOsIrgBHvA34EX,06:00:00,10:00:00,135
0MD41jZ0fALq1U7ATpERn,19:00:00,23:00:00,675
0MD41jZ0fALq1U7ATpERn,10:00:00,15:00:00,900
0MD41jZ0fALq1U7ATpERn,15:00:00,19:00:00,290
0MD41jZ0fALq1U7ATpERn,06:00:00,10:00:00,2700
0q6B55QFqE7VPO9hLDC0N,19:00:00,23:00:00,1350
0q6B55QFqE7VPO9hLDC0N,06:00:00,10:00:00,125
0q6B55QFqE7VPO9hLDC0N,10:00:00,15:00:00,150
0q6B55QFqE7VPO9hLDC0N,15:00:00,19:00:00,1125
0RfTmJg98tv9ff6iEU5jz,06:00:00,10:00:00,1460
0RfTmJg98tv9ff6iEU5jz,19:00:00,23:00:00,1800
0RfTmJg98tv9ff6iEU5jz,15:00:00,19:00:00,2700
0RfTmJg98tv9ff6iEU5jz,10:00:00,15:00:00,1125
0uI5Wr3pJc0NdmQU1cqfv,06:00:00,10:00:00,1910
0uI5Wr3pJc0NdmQU1cqfv,19:00:00,23:00:00,2025
0uI5Wr3pJc0NdmQU1cqfv,10:00:00,15:00:00,1350
0uI5Wr3pJc0NdmQU1cqfv,15:00:00,19:00:00,1910
0XH65TTO7WRUIai9uQs54,19:00:00,23:00:00,900
0XH65TTO7WRUIai9uQs54,06:00:00,10:00:00,610
0XH65TTO7WRUIai9uQs54,10:00:00,15:00:00,900
0XH65TTO7WRUIai9uQs54,15:00:00,19:00:00,2700
0_YigmbN6W4IoQ5ioOmYR,10:00:00,15:00:00,465
0_YigmbN6W4IoQ5ioOmYR,19:00:00,23:00:00,540
0_YigmbN6W4IoQ5ioOmYR,06:00:00,10:00:00,900
0_YigmbN6W4IoQ5ioOmYR,15:00:00,19:00:00,505
0yopLpAb3pZW2IOBct96R,15:00:00,19:00:00,1690
0yopLpAb3pZW2IOBct96R,06:00:00,10:00:00,1240
0yopLpAb3pZW2IOBct96R,19:00:00,23:00:00,2025
0yopLpAb3pZW2IOBct96R,10:00:00,15:00:00,2025
1a_PppQFM_WxUB1rEXPcN,19:00:00,23:00:00,2700
1a_PppQFM_WxUB1rEXPcN,06:00:00,10:00:00,790
1a_PppQFM_WxUB1rEXPcN,15:00:00,19:00:00,1575
1a_PppQFM_WxUB1rEXPcN,10:00:00,15:00:00,900
1CVc7raPnIXvjdgIQv2wA,15:00:00,19:00:00,270
1CVc7raPnIXvjdgIQv2wA,06:00:00,10:00:00,150
1CVc7raPnIXvjdgIQv2wA,19:00:00,23:00:00,300
1CVc7raPnIXvjdgIQv2wA,10:00:00,15:00:00,385
1h5xuYUvFWRQlx_QOZ8yL,15:00:00,19:00:00,1010
1h5xuYUvFWRQlx_QOZ8yL,19:00:00,23:00:00,1010
1h5xuYUvFWRQlx_QOZ8yL,06:00:00,10:00:00,1575
1h5xuYUvFWRQlx_QOZ8yL,10:00:00,15:00:00,2025
1hhl6rLrvlT10bpEwevs2,15:00:00,19:00:00,375
1hhl6rLrvlT10bpEwevs2,19:00:00,23:00:00,110
1hhl6rLrvlT10bpEwevs2,06:00:00,10:00:00,90
1hhl6rLrvlT10bpEwevs2,10:00:00,15:00:00,110
1jADGznxxrt4K2snqmy05,06:00:00,10:00:00,2360
1jADGznxxrt4K2snqmy05,15:00:00,19:00:00,2700
1jADGznxxrt4K2snqmy05,10:00:00,15:00:00,2700
1jADGznxxrt4K2snqmy05,19:00:00,23:00:00,2700
1JAWqfuPYO9izvbREVsLR,10:00:00,15:00:00,2025
1JAWqfuPYO9izvbREVsLR,15:00:00,19:00:00,1690
1JAWqfuPYO9izvbREVsLR,19:00:00,23:00:00,2700
1JAWqfuPYO9izvbREVsLR,06:00:00,10:00:00,1350
1Jxp2htELubmmtlyac8dW,10:00:00,15:00:00,2025
1Jxp2htELubmmtlyac8dW,15:00:00,19:00:00,2360
1Jxp2htELubmmtlyac8dW,06:00:00,10:00:00,1240
1Jxp2htELubmmtlyac8dW,19:00:00,23:00:00,2025
1KmmBT_GnN6ycwowtIWi2,15:00:00,19:00:00,675
1KmmBT_GnN6ycwowtIWi2,19:00:00,23:00:00,1350
1KmmBT_GnN6ycwowtIWi2,06:00:00,10:00:00,675
1KmmBT_GnN6ycwowtIWi2,10:00:00,15:00:00,1350
1lif0yYnvYLeSXzzrLvEl,19:00:00,23:00:00,195
1lif0yYnvYLeSXzzrLvEl,10:00:00,15:00:00,170
1lif0yYnvYLeSXzzrLvEl,06:00:00,10:00:00,125
1lif0yYnvYLeSXzzrLvEl,15:00:00,19:00:00,145
1LP9Vk7ezEV1L_xsceq2e,06:00:00,10:00:00,85
1LP9Vk7ezEV1L_xsceq2e,19:00:00,23:00:00,2700
1LP9Vk7ezEV1L_xsceq2e,10:00:00,15:00:00,270
1LP9Vk7ezEV1L_xsceq2e,15:00:00,19:00:00,275
1qAG7g39ik2OqfT0WZCnm,10:00:00,15:00:00,2700
1qAG7g39ik2OqfT0WZCnm,19:00:00,23:00:00,270
1qAG7g39ik2OqfT0WZCnm,06:00:00,10:00:00,2025
1qAG7g39ik2OqfT0WZCnm,15:00:00,19:00:00,2700
1vsBeLtLPgNSSnM5gWycm,06:00:00,10:00:00,1125
1vsBeLtLPgNSSnM5gWycm,19:00:00,23:00:00,1690
1vsBeLtLPgNSSnM5gWycm,10:00:00,15:00:00,1070
1vsBeLtLPgNSSnM5gWycm,15:00:00,19:00:00,1240
25icSlpda9SQy1Ni48qk_,10:00:00,15:00:00,2025
25icSlpda9SQy1Ni48qk_,06:00:00,10:00:00,1240
25icSlpda9SQy1Ni48qk_,19:00:00,23:00:00,1800
25icSlpda9SQy1Ni48qk_,15:00:00,19:00:00,1460
28pnT_4PS_mR8FzYKXWmR,06:00:00,10:00:00,640
28pnT_4PS_mR8FzYKXWmR,19:00:00,23:00:00,790
28pnT_4PS_mR8FzYKXWmR,10:00:00,15:00:00,675
28pnT_4PS_mR8FzYKXWmR,15:00:00,19:00:00,550
2bmBOEvijWTXMFDjfS415,06:00:00,10:00:00,275
2bmBOEvijWTXMFDjfS415,15:00:00,19:00:00,900
2bmBOEvijWTXMFDjfS415,19:00:00,23:00:00,1350
2bmBOEvijWTXMFDjfS415,10:00:00,15:00:00,675
2DDOTu4ngQ7a4DBGEgI0T,15:00:00,19:00:00,420
2DDOTu4ngQ7a4DBGEgI0T,06:00:00,10:00:00,190
2DDOTu4ngQ7a4DBGEgI0T,10:00:00,15:00:00,340
2DDOTu4ngQ7a4DBGEgI0T,19:00:00,23:00:00,675
2ESrUNxmari9t54H8t7Lw,06:00:00,10:00:00,675
2ESrUNxmari9t54H8t7Lw,19:00:00,23:00:00,2025
2ESrUNxmari9t54H8t7Lw,15:00:00,19:00:00,755
