route_id,agency_id,route_long_name,route_short_name,route_type,continuous_pickup,continuous_drop_off
P_O_14_IG076,P_O_14,Moassasa - Nahda City,Microbus,3,0,0
p3-8qu3UivDvTp0cckEVG,P_O_14,Haram Talbeya - Kafr Tohormos,Microbus,3,0,0
CTA_M_112,CTA_M,Abou Al Reesh - Masaken Sheraton,Minibus 112,3,1,1
P_O_14_CA033,P_O_14,Alf Maskan - Nahda City,Microbus,3,0,0
P_O_14_IC008,P_O_14,Helwan - Hossary,Microbus,3,0,0
P_B_8_NC011,P_B_8,Al Shabab Entrance - Gas (Banks Area),Tomnaya,3,0,0
FptsKvc-vW3cBoVWdYDUL,CTA,Ahmed Helmy - Akher Tersa,CTA 8s,3,1,1
COOP_IC024,COOP,Al-Salam (10th of Ramadan) - Gas (Banks Area),Minibus,3,0,0
yW2PB6nRIGF3AW92oa9Kq,P_B_8,Hyper 1 - Sheikh Zayed General Hospital,Tomnaya,3,0,0
5uY9vir47u3ABX4ON8Tf3,P_O_14,Ahmed Helmy - Moassasa,Microbus,3,0,0
P_O_14_GZ016,P_O_14,Al Warraq - Imbaba,Microbus,3,0,0
P_O_14_GZ032,P_O_14,Kerdasa - Nahia,Microbus,3,0,0
iPmb6Kx9epuWwMHetjCnF,P_O_14,Al-Salam (10th of Ramadan) - Rabaah Al Adaweya Mosque,Microbus,3,0,0
P_O_14_IC023,P_O_14,Gas (Banks Area) - Ramses,Microbus,3,0,0
P_O_14_IC051,P_O_14,10th District (Nasr City) - New Cairo Court,Microbus,3,0,0
s9b5Iic4NtV_eorQzj73e,P_O_14,Al-Salam (10th of Ramadan) - Cairo Alexandria Agriculture Road,Microbus,3,0,0
LNhgToq2DsZoXTXPK8G9d,P_O_14,Bulaq Al Dakrur - Nahda City,Microbus,3,0,0
WiQa8bXpeSlLhEC1SUwGb,P_O_14,Al-Salam (10th of Ramadan) - Al Sawah Square,Microbus,3,0,0
COOP_IG080,COOP,Al Shari' Al Gadeed  (Bahteem) - Bab Al Shaaria Square,Minibus,3,0,0
I30E1wTMc3MAmoOQniW3h,P_O_14,10th District (Nasr City) - Al Hamd Square,Microbus,3,0,0
P_O_14_IG066,P_O_14,Moassasa - Ramses,Microbus,3,0,0
Ci3EuISJ24C8rXJIGK05p,P_O_14,Nahda City - New Marg,Microbus,3,0,0
CTA_1145,CTA,Mazallat - Tagneed (Al Remaya),CTA 1145,3,1,1
WLDxjQ-KCsznJV1tiaAUM,P_O_14,Al Qanatir Al Khayriyyah - Mazallat,Microbus,3,0,0
kRpR7tVa5mkJF71MQgxHN,P_O_14,Al-Salam (10th of Ramadan) - Hadaba Wosta (Moqattam),Microbus,3,0,0
P_B_8_CA148,P_B_8,Al Marg Police - Ezbet Al Nakhl,Tomnaya,3,0,0
CTA_1025,CTA,15th of May - Abd Al Moneim Riad,CTA 1025,3,1,1
CTA_317,CTA,Al-Salam (10th of Ramadan) - Badr City,CTA 317,3,1,1
CTA_1107,CTA,Imbaba - Kattameya (Mahmoudeya),CTA 1107,3,1,1
P_B_8_6O026,P_B_8,7th District (6th of October) - Laylat Al Qadr,Tomnaya,3,0,0
CYBtB1fCo1hBspOu6rrgm,P_O_14,Al-Salam (10th of Ramadan) - Rehab - Gate 13 - 12,Microbus,3,0,0
Eib3Hm9Na_KFRfgk0ykjn,P_O_14,Alf Maskan - Gas (Banks Area),Microbus,3,0,0
BOX_6O006,BOX,Al Muluk - Hossary,Box,3,0,0
CTA_1018,CTA,3rd Settlement  (New Cairo) - Ahmed Helmy,CTA 1018,3,1,1
2EAwBcn3IACPZ0xefVHUM,P_O_14,6th District - 6th of October (Al Souq Al Qadeem) - New Marg,Microbus,3,0,0
CTA_1009,CTA,Attaba - Masaken Betcho,CTA 1009,3,1,1
CTA_912-1048,CTA,7th District (Nasr City) - Moneeb,CTA 1048,3,1,1
wMjyQ7gRXkx7VXHzsFwCf,P_O_14,Al Shari' Al Gadeed  (Bahteem) - Matareya Square,Microbus,3,0,0
P_O_14_GZ007,P_O_14,Dandy Mall - Lebanon Square,Microbus,3,0,0
P_O_14_CA011,P_O_14,Al Banhawi - Al Sayeda Aisha,Microbus,3,0,0
3tz5zeyxwhFrOyUkh7Ywp,P_O_14,Al-Salam (10th of Ramadan) - Hossary,Microbus,3,0,0
CTA_794,CTA,Giza Square - Masaken Sheraton,CTA 794,3,1,1
CTA_1005,CTA,Dawaran Shubra - Obour Market,CTA 1005,3,1,1
mwUKKpciQEKn_H2kOT4BD,P_O_14,Giza Square - Znen (Awwel Al Eshreen),Microbus,3,0,0
1FhB0pHnV9BOvKm0Ob-wB,P_O_14,Hossary - New Marg,Microbus,3,0,0
EwqAOaw248bX7cqrouzx3,P_O_14,Hadaek EL Kobba - Masallah Al Gadeda (Matareyya),Microbus,3,0,0
6rjmU4VqdB1ooUUa9jZiN,COOP,Al-Salam (10th of Ramadan) - Al Shorouq,Minibus,3,0,0
dJMk38hnkQqjWUx8GExQu,P_O_14,New Marg - Rawda Mosque  (Obour),Microbus,3,0,0
ZDNaajF6Sze97Dcd-UimA,COOP,10th District (Nasr City) - Al-Salam (10th of Ramadan),Minibus,3,0,0
dQV3G9JYKsRk7qTtx6qZF,P_O_14,Al-Salam (10th of Ramadan) - Remaya (New Mashaal),Microbus,3,0,0
CTA_1073,CTA,Amr Ibn El Aas - Moassasa,CTA 1073,3,1,1
eNaYFATGV4nFM2ODEQGb5,P_O_14,Al Wehda Imbaba (Al Bohi) - Attaba,Microbus,3,0,0
GX87T1pzMtRxYekSSN02o,P_O_14,Moassasa - Shabab (Obour),Microbus,3,0,0
P_O_14_IG089,P_O_14,Qasr Al Einy - Znen (Awwel Al Eshreen),Microbus,3,0,0
CTA_65,CTA,8th District (Nasr City) - Al tabba - Amr Ibn El Aas,CTA 65,3,1,1
s2yaV54cOOS0xeyQpkTZl,CTA,3rd Settlement  (New Cairo) - Attaba,CTA 1064,3,1,1
BOX_6O022,BOX,6th District - 6th of October (Al Souq Al Qadeem) - Industrial Zone 3,Box,3,0,0
49Lt1kKFfGCSPZKc8R4LQ,P_O_14,Qalyoub Exit - Wizarat District - New Administrative Capital,Microbus,3,0,0
Dy5kofrNjrAu73mDsw5Vk,P_O_14,10th District (Nasr City) - Helwan,Microbus,3,0,0
CTA_1083,CTA,Abd Al Moneim Riad - Obour,CTA 1083,3,1,1
CTA_990,CTA,Masaken Ain Shams - Motseian,CTA 990,3,1,1
CTA_1063,CTA,Attaba - Zahraa Ain Shams,CTA 1063,3,1,1
CTA_1053,CTA,7th District (Nasr City) - Masaken Al Wehda,CTA 1053,3,1,1
aPqU-5Zq_31ywCFAxL2wE,P_O_14,Alf Maskan - Awwel Makram Ebeid,Microbus,3,0,0
8zZN-__0-7PufjS2ZVRSA,P_O_14,Al-Salam (10th of Ramadan) - Saqr Quraish,Microbus,3,0,0
S7vV1gLrYMRDA3sRxXeNY,CTA,Ahmed Helmy - Moneeb,CTA 888,3,1,1
krefFO7pEgU4JkYMwWveO,P_O_14,Al-Salam (10th of Ramadan) - Rehab - Gate 6,Microbus,3,0,0
5n-gry5iuNS4TUoZAFqXI,COOP,Al-Salam (10th of Ramadan) - Rehab - Gate 6,Minibus,3,0,0
INAVDyd7BcSqbkwQ6JoJO,P_O_14,6th District - 6th of October (Al Souq Al Qadeem) - New Marg,Microbus,3,0,0
CTA_1019,CTA,1st Settlement (New Cairo) - Masaken Zeinhom,CTA 1019,3,1,1
CTA_1047,CTA,Abd Al Moneim Riad - Badr (Sheikh Zayed),CTA 1047,3,1,1
COOP_QA005,COOP,Bahtim Square - Moassasa,Minibus,3,0,0
CTA_1021,CTA,8th District (Nasr City) - Al tabba - Imbaba,CTA 1021,3,1,1
CTA_975,CTA,Hegaz Square - Moassasa,CTA 975,3,1,1
CTA_44S-1042,CTA,Abd Al Moneim Riad - Zahraa Ain Shams,CTA 1042,3,1,1
P_O_14_CA139,P_O_14,Hadayeq Helwan - Helwan Metro,Microbus,3,0,0
ht0GgjSAbF0kdmnExj5Yz,P_O_14,Kolleyet Al Zeraah (Ain Shams University) - Masaken Al Wehda,Microbus,3,0,0
PqnyKZvgBfy2DlGQ-9usu,P_O_14,Helwan - Zahraa Madinet Nasr,Microbus,3,0,0
CTA_1118,CTA,7th District (Nasr City) - Tagneed (Al Remaya),CTA 1118,3,1,1
P_O_14_GZ052,P_O_14,Ard El Lewaa - Bashtil El Balad,Microbus,3,0,0
CTA_1148,CTA,Abd Al Moneim Riad - Isbiko,CTA 1148,3,1,1
0Ey4XgPAt58ikVvQZvr-a,P_O_14,Al-Salam (10th of Ramadan) - Helwan,Microbus,3,0,0
CTA_530,CTA,Cairo Airport - Qalyoub,CTA 530,3,1,1
1uALlQYE7WZs28gRvdky_,P_O_14,Cairo Alexandria Agriculture Road - Gas (Banks Area),Microbus,3,0,0
COOP_GZ028,COOP,Bulaq Al Dakrur - Giza Square,Minibus,3,0,0
8jTTZgEIrhAYkvpLjD0fe,COOP,Al-Salam (10th of Ramadan) - Gas (Banks Area),Minibus,3,0,0
y4xb6nE-WNerPhWcnvsM0,COOP,Cairo Alexandria Agriculture Road - Gas (Banks Area),Minibus,3,0,0
vUkl6qQJBMrkeq2TumXP0,P_O_14,Al-Salam (10th of Ramadan) - Moneeb Konayyesa,Microbus,3,0,0
CTA_945-1082,CTA,Amr Ibn El Aas - Masaken Ain Shams,CTA 1082,3,1,1
yh9YPjdcnPYlRsZtyNbb5,P_O_14,Marioteya & Ring Rd - New Marg,Microbus,3,0,0
fPRBf1K3K_qq6lfyMtz0d,CTA,Ahmed Helmy - New Marg,CTA 1055,3,1,1
CTA_92-1050,CTA,Hegaz Square - Imbaba,CTA 1050,3,1,1
CTA_306,CTA,Amiriya - Giza Square,CTA 306,3,1,1
P_O_14_IG068,P_O_14,Giza Square - Ramses,Microbus,3,0,0
CTA_1128,CTA,Asmarrat - Mazallat,CTA 1128,3,1,1
-jATAbzzhiwEzrFjPHt6K,P_O_14,New Marg - Shabab (Obour),Microbus,3,0,0
sqx1SY5Zgo0LoyC1SMQf2,P_O_14,Moneeb - Zahraa Madinet Nasr,Microbus,3,0,0
