route_id,service_id,trip_headsign,direction_id,shape_id,trip_id
P_O_14_IG076,Ground_Daily,Nahda City,0,P_O_14_IG076_R_Shape,P_O_14_IG076_R
p3-8qu3UivDvTp0cckEVG,Ground_Daily,Haram Talbeya,1,WlyxFoUGEmOwnigxzisOe_Shape,WlyxFoUGEmOwnigxzisOe
CTA_M_112,Ground_Daily,Masaken Sheraton,0,CTA_M_112_O_Shape,CTA_M_112_O
P_O_14_CA033,Ground_Daily,Alf Maskan,1,P_O_14_CA033_R_Shape,P_O_14_CA033_R
P_O_14_IC008,Ground_Daily,Hossary,1,P_O_14_IC008_R_Shape,P_O_14_IC008_R
P_B_8_NC011,Ground_Daily,Al Shabab Entrance,0,P_B_8_NC011_O_Shape,P_B_8_NC011_O
FptsKvc-vW3cBoVWdYDUL,Ground_Daily,Ahmed Helmy,1,KL6LiAhzGnxertX9Ff5PL_Shape,KL6LiAhzGnxertX9Ff5PL
COOP_IC024,Ground_Daily,Al-Salam (10th of Ramadan),1,COOP_IC024_O_Shape,COOP_IC024_O
yW2PB6nRIGF3AW92oa9Kq,Ground_Daily,Sheikh Zayed General Hospital,0,XVQbEYXGijXqhWsDJIFQS_Shape,XVQbEYXGijXqhWsDJIFQS
5uY9vir47u3ABX4ON8Tf3,Ground_Daily,Moassasa,0,nBQyEcOdSAZz-ivOI1I0Z_Shape,nBQyEcOdSAZz-ivOI1I0Z
P_O_14_GZ016,Ground_Daily,Al Warraq,1,P_O_14_GZ016_R_Shape,P_O_14_GZ016_R
P_O_14_GZ032,Ground_Daily,Kerdasa,1,P_O_14_GZ032_R_Shape,P_O_14_GZ032_R
iPmb6Kx9epuWwMHetjCnF,Ground_Daily,Al-Salam (10th of Ramadan),0,VuaXfDvuhTYJ-TYWaJa76_Shape,VuaXfDvuhTYJ-TYWaJa76
P_O_14_IC023,Ground_Daily,Gas (Banks Area),1,P_O_14_IC023_R_Shape,P_O_14_IC023_R
FptsKvc-vW3cBoVWdYDUL,Ground_Daily,Akher Tersa,0,gjJQWZi93W-mwaLf0GMEK_Shape,gjJQWZi93W-mwaLf0GMEK
P_O_14_IC051,Ground_Daily,New Cairo Court,1,P_O_14_IC051_O_Shape,P_O_14_IC051_O
s9b5Iic4NtV_eorQzj73e,Ground_Daily,Al-Salam (10th of Ramadan),0,VRqsromYJpfiy-qVTSxfk_Shape,VRqsromYJpfiy-qVTSxfk
LNhgToq2DsZoXTXPK8G9d,Ground_Daily,Nahda City,1,lXEko31zzBDalexCQcqNR_Shape,lXEko31zzBDalexCQcqNR
WiQa8bXpeSlLhEC1SUwGb,Ground_Daily,Al-Salam (10th of Ramadan),1,-_VpN7mgRZ3gJMkTAlCYj_Shape,-_VpN7mgRZ3gJMkTAlCYj
COOP_IG080,Ground_Daily,Al Shari' Al Gadeed  (Bahteem),1,COOP_IG080_R_Shape,COOP_IG080_R
I30E1wTMc3MAmoOQniW3h,Ground_Daily,10th District (Nasr City),0,UmoIJOVG88DhijzVHsBiG_Shape,UmoIJOVG88DhijzVHsBiG
P_O_14_IG066,Ground_Daily,Ramses,1,P_O_14_IG066_R_Shape,P_O_14_IG066_R
Ci3EuISJ24C8rXJIGK05p,Ground_Daily,Nahda City,0,1tN6IsX2M24xR-xZ1ykFM_Shape,1tN6IsX2M24xR-xZ1ykFM
CTA_1145,Ground_Daily,Tagneed (Al Remaya),1,CTA_1145_R_Shape,CTA_1145_R
LNhgToq2DsZoXTXPK8G9d,Ground_Daily,Bulaq Al Dakrur,0,znS5J7q3CNP1rdEZ4vkJK_Shape,znS5J7q3CNP1rdEZ4vkJK
WLDxjQ-KCsznJV1tiaAUM,Ground_Daily,Mazallat,1,i-8uarZ8JxAXRjAG9CXTF_Shape,i-8uarZ8JxAXRjAG9CXTF
kRpR7tVa5mkJF71MQgxHN,Ground_Daily,Hadaba Wosta (Moqattam),1,7GQl2A2SxfqKgVVcqTb5j_Shape,7GQl2A2SxfqKgVVcqTb5j
P_B_8_CA148,Ground_Daily,Al Marg Police,0,P_B_8_CA148_O_Shape,P_B_8_CA148_O
CTA_1025,Ground_Daily,15th of May,0,CTA_1025_O_Shape,CTA_1025_O
CTA_317,Ground_Daily,Al-Salam (10th of Ramadan),0,CTA_317_O_Shape,CTA_317_O
CTA_1107,Ground_Daily,Imbaba,0,CTA_1107_O_Shape,CTA_1107_O
P_B_8_6O026,Ground_Daily,7th District (6th of October),1,P_B_8_6O026_R_Shape,P_B_8_6O026_R
CYBtB1fCo1hBspOu6rrgm,Ground_Daily,Al-Salam (10th of Ramadan),0,I3zs3cC48xNwYipPBSVOf_Shape,I3zs3cC48xNwYipPBSVOf
Eib3Hm9Na_KFRfgk0ykjn,Ground_Daily,Gas (Banks Area),1,EVMTmhBeTDkD2Bnd_ejr8_Shape,EVMTmhBeTDkD2Bnd_ejr8
BOX_6O006,Ground_Daily,Hossary,1,BOX_6O006_R_Shape,BOX_6O006_R
CTA_1018,Ground_Daily,Ahmed Helmy,0,CTA_1018_O_Shape,CTA_1018_O
2EAwBcn3IACPZ0xefVHUM,Ground_Daily,New Marg,1,YaJquxQOxVS7keebUeubh_Shape,YaJquxQOxVS7keebUeubh
CTA_1009,Ground_Daily,Attaba,1,CTA_1009_R_Shape,CTA_1009_R
CTA_912-1048,Ground_Daily,7th District (Nasr City),1,CTA_912or1048_R_Shape,CTA_912or1048_R
wMjyQ7gRXkx7VXHzsFwCf,Ground_Daily,Al Shari' Al Gadeed  (Bahteem),0,1-LdWzFVbChn8FY-dPvXs_Shape,1-LdWzFVbChn8FY-dPvXs
P_O_14_GZ007,Ground_Daily,Dandy Mall,0,P_O_14_GZ007_O_Shape,P_O_14_GZ007_O
P_O_14_CA011,Ground_Daily,Al Sayeda Aisha,1,P_O_14_CA011_R_Shape,P_O_14_CA011_R
3tz5zeyxwhFrOyUkh7Ywp,Ground_Daily,Hossary,1,lNMyNTvbU0KjkbsJTHaL3_Shape,lNMyNTvbU0KjkbsJTHaL3
CTA_794,Ground_Daily,Masaken Sheraton,1,CTA_794_R_Shape,CTA_794_R
CTA_1005,Ground_Daily,Dawaran Shubra,1,CTA_1005_R_Shape,CTA_1005_R
mwUKKpciQEKn_H2kOT4BD,Ground_Daily,Znen (Awwel Al Eshreen),1,7ejWuP8z_-yXEIrG9P8V3_Shape,7ejWuP8z_-yXEIrG9P8V3
1FhB0pHnV9BOvKm0Ob-wB,Ground_Daily,Hossary,1,AfDp8Lw8bHWxnh6Hl9cuC_Shape,AfDp8Lw8bHWxnh6Hl9cuC
EwqAOaw248bX7cqrouzx3,Ground_Daily,Masallah Al Gadeda (Matareyya),0,vVcgD2JTe21Zaahlos0TS_Shape,vVcgD2JTe21Zaahlos0TS
6rjmU4VqdB1ooUUa9jZiN,Ground_Daily,Al Shorouq,1,Fv7f1MMCDUnncE-sll5Wm_Shape,Fv7f1MMCDUnncE-sll5Wm
CYBtB1fCo1hBspOu6rrgm,Ground_Daily,Rehab - Gate 13 - 12,1,ZesCeeINq5ELkiEeKwyBZ_Shape,ZesCeeINq5ELkiEeKwyBZ
dJMk38hnkQqjWUx8GExQu,Ground_Daily,Rawda Mosque  (Obour),1,8SkG5rSD-6qVr0uWhMn-X_Shape,8SkG5rSD-6qVr0uWhMn-X
ZDNaajF6Sze97Dcd-UimA,Ground_Daily,10th District (Nasr City),0,_MUBI27IvfizNOys4qHWP_Shape,_MUBI27IvfizNOys4qHWP
dQV3G9JYKsRk7qTtx6qZF,Ground_Daily,Remaya (New Mashaal),0,a47PxSF1PyufcStMBcnNh_Shape,a47PxSF1PyufcStMBcnNh
CTA_1073,Ground_Daily,Amr Ibn El Aas,1,CTA_1073_R_Shape,CTA_1073_R
eNaYFATGV4nFM2ODEQGb5,Ground_Daily,Attaba,1,n_5Ch2ca9rn5mOS5TkQeD_Shape,n_5Ch2ca9rn5mOS5TkQeD
GX87T1pzMtRxYekSSN02o,Ground_Daily,Shabab (Obour),1,tuR6V0Tr7bxE4m6dObmRZ_Shape,tuR6V0Tr7bxE4m6dObmRZ
P_O_14_IG089,Ground_Daily,Znen (Awwel Al Eshreen),0,P_O_14_IG089_O_Shape,P_O_14_IG089_O
CTA_65,Ground_Daily,8th District (Nasr City) - Al tabba,0,CTA_65_O_Shape,CTA_65_O
s2yaV54cOOS0xeyQpkTZl,Ground_Daily,3rd Settlement  (New Cairo),0,XNopAbb9eJNPDjMBcE0b6_Shape,XNopAbb9eJNPDjMBcE0b6
CTA_317,Ground_Daily,Badr City,1,CTA_317_R_Shape,CTA_317_R
BOX_6O022,Ground_Daily,Industrial Zone 3,0,BOX_6O022_O_Shape,BOX_6O022_O
49Lt1kKFfGCSPZKc8R4LQ,Ground_Daily,Wizarat District - New Administrative Capital,0,49Lt1kKFfGCSPZKc8R4LQ_O_Shape,49Lt1kKFfGCSPZKc8R4LQ_O
Dy5kofrNjrAu73mDsw5Vk,Ground_Daily,10th District (Nasr City),0,SXx8fXX75-BaX8cOUYj4D_Shape,SXx8fXX75-BaX8cOUYj4D
CTA_1083,Ground_Daily,Abd Al Moneim Riad,1,CTA_1083_R_Shape,CTA_1083_R
