trip_id,start_time,end_time,headway_secs,exact_times
GOV_MIN_4_0,06:00:00,23:00:00,900,0
GOV_MIN_4_1,06:00:00,23:00:00,900,0
GOV_MIN_8_0,06:00:00,23:00:00,900,0
GOV_MIN_8_1,06:00:00,23:00:00,900,0
GOV_MIN_9_0,06:00:00,23:00:00,900,0
GOV_MIN_9_1,06:00:00,23:00:00,900,0
GOV_MIN_10_0,06:00:00,23:00:00,900,0
GOV_MIN_10_1,06:00:00,23:00:00,900,0
GOV_MIN_17_0,06:00:00,23:00:00,900,0
GOV_MIN_17_1,06:00:00,23:00:00,900,0
GOV_MIN_26_0,06:00:00,23:00:00,900,0
GOV_MIN_26_1,06:00:00,23:00:00,900,0
GOV_MIN_37_0,06:00:00,23:00:00,900,0
GOV_MIN_37_1,06:00:00,23:00:00,900,0
GOV_MIN_44_0,06:00:00,23:00:00,900,0
GOV_MIN_44_1,06:00:00,23:00:00,900,0
GOV_MIN_52_0,06:00:00,23:00:00,900,0
GOV_MIN_52_1,06:00:00,23:00:00,900,0
GOV_MIN_53_0,06:00:00,23:00:00,900,0
GOV_MIN_53_1,06:00:00,23:00:00,900,0
GOV_MIN_57_0,06:00:00,23:00:00,900,0
GOV_MIN_57_1,06:00:00,23:00:00,900,0
GOV_MIN_74_0,06:00:00,23:00:00,900,0
GOV_MIN_74_1,06:00:00,23:00:00,900,0
GOV_MIN_79_0,06:00:00,23:00:00,900,0
GOV_MIN_79_1,06:00:00,23:00:00,900,0
GOV_MIN_80_0,06:00:00,23:00:00,900,0
GOV_MIN_80_1,06:00:00,23:00:00,900,0
GOV_MIN_81_0,06:00:00,23:00:00,900,0
GOV_MIN_81_1,06:00:00,23:00:00,900,0
GOV_MIN_101_0,06:00:00,23:00:00,900,0
GOV_MIN_101_1,06:00:00,23:00:00,900,0
GOV_MIN_106_0,06:00:00,23:00:00,900,0
GOV_MIN_106_1,06:00:00,23:00:00,900,0
GOV_MIN_115_0,06:00:00,23:00:00,900,0
GOV_MIN_115_1,06:00:00,23:00:00,900,0
GOV_MIN_125_0,06:00:00,23:00:00,900,0
GOV_MIN_125_1,06:00:00,23:00:00,900,0
GOV_MIN_131_0,06:00:00,23:00:00,900,0
GOV_MIN_131_1,06:00:00,23:00:00,900,0
GOV_MIN_136_0,06:00:00,23:00:00,900,0
GOV_MIN_136_1,06:00:00,23:00:00,900,0
GOV_MIN_137_0,06:00:00,23:00:00,900,0
GOV_MIN_137_1,06:00:00,23:00:00,900,0
GOV_MIN_138_0,06:00:00,23:00:00,900,0
GOV_MIN_138_1,06:00:00,23:00:00,900,0
GOV_MIN_139_0,06:00:00,23:00:00,900,0
GOV_MIN_139_1,06:00:00,23:00:00,900,0
GOV_MIN_140_0,06:00:00,23:00:00,900,0
GOV_MIN_140_1,06:00:00,23:00:00,900,0
GOV_MIN_145_0,06:00:00,23:00:00,900,0
GOV_MIN_145_1,06:00:00,23:00:00,900,0
GOV_MIN_149_0,06:00:00,23:00:00,900,0
GOV_MIN_149_1,06:00:00,23:00:00,900,0
GOV_MIN_153_0,06:00:00,23:00:00,900,0
GOV_MIN_153_1,06:00:00,23:00:00,900,0
GOV_MIN_202_0,06:00:00,23:00:00,900,0
GOV_MIN_202_1,06:00:00,23:00:00,900,0
GOV_MIN_203_0,06:00:00,23:00:00,900,0
GOV_MIN_203_1,06:00:00,23:00:00,900,0
GOV_MIN_211_0,06:00:00,23:00:00,900,0
GOV_MIN_211_1,06:00:00,23:00:00,900,0
GOV_MIN_220_0,06:00:00,23:00:00,900,0
GOV_MIN_220_1,06:00:00,23:00:00,900,0
GOV_MIN_226_0,06:00:00,23:00:00,900,0
GOV_MIN_226_1,06:00:00,23:00:00,900,0
GOV_MIN_255_0,06:00:00,23:00:00,900,0
GOV_MIN_255_1,06:00:00,23:00:00,900,0
GOV_MIN_303_0,06:00:00,23:00:00,900,0
GOV_MIN_303_1,06:00:00,23:00:00,900,0
GOV_MIN_314_0,06:00:00,23:00:00,900,0
GOV_MIN_314_1,06:00:00,23:00:00,900,0
GOV_MIN_333_0,06:00:00,23:00:00,900,0
GOV_MIN_333_1,06:00:00,23:00:00,900,0
GOV_MIN_355_0,06:00:00,23:00:00,900,0
GOV_MIN_355_1,06:00:00,23:00:00,900,0
GOV_MIN_404_0,06:00:00,23:00:00,900,0
GOV_MIN_404_1,06:00:00,23:00:00,900,0
GOV_MIN_424_0,06:00:00,23:00:00,900,0
GOV_MIN_424_1,06:00:00,23:00:00,900,0
GOV_MIN_505_0,06:00:00,23:00:00,900,0
GOV_MIN_505_1,06:00:00,23:00:00,900,0
GOV_MIN_606_0,06:00:00,23:00:00,900,0
GOV_MIN_606_1,06:00:00,23:00:00,900,0
GOV_MIN_616_0,06:00:00,23:00:00,900,0
GOV_MIN_616_1,06:00:00,23:00:00,900,0
GOV_MIN_700_0,06:00:00,23:00:00,900,0
GOV_MIN_700_1,06:00:00,23:00:00,900,0
GOV_MIN_702_0,06:00:00,23:00:00,900,0
GOV_MIN_702_1,06:00:00,23:00:00,900,0
GOV_MIN_755_0,06:00:00,23:00:00,900,0
GOV_MIN_755_1,06:00:00,23:00:00,900,0
GOV_MIN_2002_0,06:00:00,23:00:00,900,0
GOV_MIN_2002_1,06:00:00,23:00:00,900,0
GOV_MIN_2003_0,06:00:00,23:00:00,900,0
GOV_MIN_2003_1,06:00:00,23:00:00,900,0
GOV_MIN_7 M_0,06:00:00,23:00:00,900,0
GOV_MIN_7 M_1,06:00:00,23:00:00,900,0
GOV_CTA_123_0,06:00:00,23:00:00,900,0
GOV_CTA_123_1,06:00:00,23:00:00,900,0
GOV_CTA_160/_0,06:00:00,23:00:00,900,0
GOV_CTA_160/_1,06:00:00,23:00:00,900,0
GOV_CTA_222_0,06:00:00,23:00:00,900,0
GOV_CTA_222_1,06:00:00,23:00:00,900,0
GOV_CTA_366_0,06:00:00,23:00:00,900,0
GOV_CTA_366_1,06:00:00,23:00:00,900,0
GOV_CTA_573_0,06:00:00,23:00:00,900,0
