route_id,agency_id,route_long_name,route_short_name,route_type,continuous_pickup,continuous_drop_off
GOV_MIN_4,GOV_CTA_M,El Haykestep - Mamaleek (Al Manial),Minibus 4,3,1,1
GOV_MIN_8,GOV_CTA_M,Amiriyyah - Rehab Square,Minibus 8,3,1,1
GOV_MIN_9,GOV_CTA_M,Salam Station (10th of Ramadan Station) - Al Geish Square,Minibus 9,3,1,1
GOV_MIN_10,GOV_CTA_M,Ibrahim Bek - Naguib Mahfouz Square (1st Settlement),Minibus 10,3,1,1
GOV_MIN_17,GOV_CTA_M,Moasasset Al Zakah - Al Sayeda Nafeesa,Minibus 17,3,1,1
GOV_MIN_26,GOV_CTA_M,15th of May - Masaken Al Shrouq,Minibus 26,3,1,1
GOV_MIN_37,GOV_CTA_M,Kafr Tuhurmis - Elecrticity Hospital (Suez Rd),Minibus 37,3,1,1
GOV_MIN_44,GOV_CTA_M,Matbaa - Al Nozha Al Gadida,Minibus 44,3,1,1
GOV_MIN_52,GOV_CTA_M,Saft Al Laban - Al Mazallaat ( Shubra),Minibus 52,3,1,1
GOV_MIN_53,GOV_CTA_M,Saft Al Laban - Masaken Almaza,Minibus 53,3,1,1
GOV_MIN_57,GOV_CTA_M,Saft Al Laban - 8th District (Nasr City),Minibus 57,3,1,1
GOV_MIN_74,GOV_CTA_M,Suez Bridge Entrance to Ring Road - Boulak El-Dakrour,Minibus 74,3,1,1
GOV_MIN_79,GOV_CTA_M,Arab Tuweila - Basateen,Minibus 79,3,1,1
GOV_MIN_80,GOV_CTA_M,Isko - Al Darraasa,Minibus 80,3,1,1
GOV_MIN_81,GOV_CTA_M,Kobry Orabi - Naguib Mahfouz Square (1st Settlement),Minibus 81,3,1,1
GOV_MIN_101,GOV_CTA_M,Rod Al Farag Metro Station - Naguib Mahfouz Square (1st Settlement),Minibus 101,3,1,1
GOV_MIN_106,GOV_CTA_M,Salam Station (10th of Ramadan Station) - Attaba,Minibus 106,3,1,1
GOV_MIN_115,GOV_CTA_M,Amiriyyah - 8th District (Nasr City),Minibus 115,3,1,1
GOV_MIN_125,GOV_CTA_M,Lebanon Square - Naguib Mahfouz Square (1st Settlement),Minibus 125,3,1,1
GOV_MIN_131,GOV_CTA_M,Rod Al Farag Metro Station - Naguib Mahfouz Square (1st Settlement),Minibus 131,3,1,1
GOV_MIN_136,GOV_CTA_M,Naguib Mahfouz Square (1st Settlement) - Al Sayeda Nafeesa,Minibus 136,3,1,1
GOV_MIN_137,GOV_CTA_M,Higher Institute For Hotels & Tourism (Sheraton) - Qawmeya Arabeya,Minibus 137,3,1,1
GOV_MIN_138,GOV_CTA_M,Helwan Metro - Al Nozha Al Gadida,Minibus 138,3,1,1
GOV_MIN_139,GOV_CTA_M,El-Qawmia - Al Sayeda Zeinab,Minibus 139,3,1,1
