trip_id,arrival_time,departure_time,stop_id,stop_sequence
GOV_MIN_4_0,06:00:00,06:00:00,NAT_EL_HAYKESTEP,1
GOV_MIN_4_0,06:03:31,06:03:31,NAT_OMAR_IBN_EL_KHAT,2
GOV_MIN_4_0,06:07:19,06:07:19,NAT_QOBAA,3
GOV_MIN_4_0,06:11:04,06:11:04,NAT_HESHAM_BARAKAT,4
GOV_MIN_4_0,06:15:09,06:15:09,NAT_EL_NOZHA,5
GOV_MIN_4_0,06:18:48,06:18:48,NAT_NADI_EL_SHAMS,6
GOV_MIN_4_0,06:22:30,06:22:30,2465,7
GOV_MIN_4_0,06:26:07,06:26:07,1685,8
GOV_MIN_4_0,06:29:45,06:29:45,1712,9
GOV_MIN_4_0,06:30:50,06:30:50,2708,10
GOV_MIN_4_0,06:32:05,06:32:05,1711,11
GOV_MIN_4_0,06:36:43,06:36:43,2923,12
GOV_MIN_4_0,06:38:46,06:38:46,2462,13
GOV_MIN_4_0,06:40:49,06:40:49,2923,14
GOV_MIN_4_0,06:45:27,06:45:27,1711,15
GOV_MIN_4_0,06:46:42,06:46:42,2708,16
GOV_MIN_4_0,06:48:58,06:48:58,1728,17
GOV_MIN_4_0,06:51:35,06:51:35,1725,18
GOV_MIN_4_0,06:52:25,06:52:25,1214,19
GOV_MIN_4_0,06:55:16,06:55:16,1716,20
GOV_MIN_4_0,06:58:08,06:58:08,1698,21
GOV_MIN_4_0,06:59:21,06:59:21,2749,22
GOV_MIN_4_0,07:00:34,07:00:34,1698,23
GOV_MIN_4_0,07:02:37,07:02:37,226,24
GOV_MIN_4_0,07:04:06,07:04:06,1758,25
GOV_MIN_4_0,07:05:30,07:05:30,1756,26
GOV_MIN_4_0,07:07:02,07:07:02,1289,27
GOV_MIN_4_0,07:09:53,07:09:53,2029,28
GOV_MIN_4_0,07:13:22,07:13:22,2031,29
GOV_MIN_4_0,07:14:38,07:14:38,179,30
GOV_MIN_4_0,07:15:45,07:15:45,120,31
GOV_MIN_4_0,07:16:28,07:16:28,2503,32
GOV_MIN_4_0,07:17:11,07:17:11,120,33
GOV_MIN_4_0,07:18:18,07:18:18,179,34
GOV_MIN_4_0,07:22:28,07:22:28,2798,35
GOV_MIN_4_0,07:24:37,07:24:37,2800,36
GOV_MIN_4_0,07:26:22,07:26:22,1292,37
GOV_MIN_4_0,07:28:39,07:28:39,1293,38
GOV_MIN_4_0,07:30:45,07:30:45,733,39
GOV_MIN_4_0,07:32:24,07:32:24,141,40
GOV_MIN_4_0,07:33:42,07:33:42,142,41
GOV_MIN_4_0,07:35:42,07:35:42,2012,42
GOV_MIN_4_0,07:37:17,07:37:17,2010,43
GOV_MIN_4_0,07:38:49,07:38:49,2007,44
GOV_MIN_4_0,07:40:16,07:40:16,2006,45
GOV_MIN_4_0,07:40:52,07:40:52,2536,46
GOV_MIN_4_0,07:42:55,07:42:55,2154,47
GOV_MIN_4_0,07:44:42,07:44:42,2152,48
GOV_MIN_4_0,07:46:41,07:46:41,2156,49
GOV_MIN_4_0,07:49:01,07:49:01,2149,50
GOV_MIN_4_0,07:52:25,07:52:25,123,51
GOV_MIN_4_0,07:55:12,07:55:12,124,52
GOV_MIN_4_0,07:56:46,07:56:46,367,53
GOV_MIN_4_0,07:57:25,07:57:25,2472,54
GOV_MIN_4_0,07:59:49,07:59:49,222,55
GOV_MIN_4_0,08:01:43,08:01:43,225,56
GOV_MIN_4_0,08:03:39,08:03:39,227,57
GOV_MIN_4_0,08:06:45,08:06:45,666,58
GOV_MIN_4_0,08:08:38,08:08:38,665,59
GOV_MIN_4_0,08:11:19,08:11:19,664,60
GOV_MIN_4_0,08:12:13,08:12:13,63,61
GOV_MIN_4_0,08:14:09,08:14:09,1133,62
GOV_MIN_4_0,08:17:05,08:17:05,160,63
GOV_MIN_4_0,08:19:01,08:19:01,1934,64
GOV_MIN_4_0,08:20:18,08:20:18,50,65
GOV_MIN_4_0,08:22:39,08:22:39,1132,66
GOV_MIN_4_1,06:00:00,06:00:00,1132,1
GOV_MIN_4_1,06:02:21,06:02:21,50,2
GOV_MIN_4_1,06:03:38,06:03:38,1934,3
GOV_MIN_4_1,06:05:34,06:05:34,160,4
GOV_MIN_4_1,06:08:30,06:08:30,1133,5
GOV_MIN_4_1,06:10:26,06:10:26,63,6
GOV_MIN_4_1,06:11:20,06:11:20,664,7
GOV_MIN_4_1,06:14:01,06:14:01,665,8
GOV_MIN_4_1,06:15:54,06:15:54,666,9
GOV_MIN_4_1,06:19:00,06:19:00,227,10
GOV_MIN_4_1,06:20:56,06:20:56,225,11
GOV_MIN_4_1,06:22:50,06:22:50,222,12
GOV_MIN_4_1,06:25:14,06:25:14,2472,13
GOV_MIN_4_1,06:25:53,06:25:53,367,14
GOV_MIN_4_1,06:27:27,06:27:27,124,15
GOV_MIN_4_1,06:30:14,06:30:14,123,16
GOV_MIN_4_1,06:33:38,06:33:38,2149,17
GOV_MIN_4_1,06:35:58,06:35:58,2156,18
GOV_MIN_4_1,06:37:57,06:37:57,2152,19
GOV_MIN_4_1,06:39:44,06:39:44,2154,20
GOV_MIN_4_1,06:41:47,06:41:47,2536,21
GOV_MIN_4_1,06:42:23,06:42:23,2006,22
GOV_MIN_4_1,06:43:50,06:43:50,2007,23
GOV_MIN_4_1,06:45:22,06:45:22,2010,24
GOV_MIN_4_1,06:46:57,06:46:57,2012,25
GOV_MIN_4_1,06:48:57,06:48:57,142,26
GOV_MIN_4_1,06:50:15,06:50:15,141,27
GOV_MIN_4_1,06:51:54,06:51:54,733,28
GOV_MIN_4_1,06:54:00,06:54:00,1293,29
GOV_MIN_4_1,06:56:17,06:56:17,1292,30
GOV_MIN_4_1,06:58:02,06:58:02,2800,31
GOV_MIN_4_1,07:00:11,07:00:11,2798,32
GOV_MIN_4_1,07:04:21,07:04:21,179,33
GOV_MIN_4_1,07:05:28,07:05:28,120,34
GOV_MIN_4_1,07:06:11,07:06:11,2503,35
GOV_MIN_4_1,07:06:54,07:06:54,120,36
GOV_MIN_4_1,07:08:01,07:08:01,179,37
GOV_MIN_4_1,07:09:17,07:09:17,2031,38
GOV_MIN_4_1,07:12:46,07:12:46,2029,39
GOV_MIN_4_1,07:15:37,07:15:37,1289,40
GOV_MIN_4_1,07:17:09,07:17:09,1756,41
GOV_MIN_4_1,07:18:33,07:18:33,1758,42
GOV_MIN_4_1,07:20:02,07:20:02,226,43
GOV_MIN_4_1,07:22:05,07:22:05,1698,44
GOV_MIN_4_1,07:23:18,07:23:18,2749,45
GOV_MIN_4_1,07:24:31,07:24:31,1698,46
GOV_MIN_4_1,07:27:23,07:27:23,1716,47
GOV_MIN_4_1,07:30:14,07:30:14,1214,48
GOV_MIN_4_1,07:31:04,07:31:04,1725,49
GOV_MIN_4_1,07:33:41,07:33:41,1728,50
GOV_MIN_4_1,07:35:57,07:35:57,2708,51
GOV_MIN_4_1,07:37:12,07:37:12,1711,52
GOV_MIN_4_1,07:41:50,07:41:50,2923,53
GOV_MIN_4_1,07:43:53,07:43:53,2462,54
GOV_MIN_4_1,07:45:56,07:45:56,2923,55
GOV_MIN_4_1,07:50:34,07:50:34,1711,56
GOV_MIN_4_1,07:51:49,07:51:49,2708,57
GOV_MIN_4_1,07:52:54,07:52:54,1712,58
GOV_MIN_4_1,07:56:32,07:56:32,1685,59
GOV_MIN_4_1,08:00:09,08:00:09,2465,60
GOV_MIN_4_1,08:03:51,08:03:51,NAT_NADI_EL_SHAMS,61
GOV_MIN_4_1,08:07:30,08:07:30,NAT_EL_NOZHA,62
GOV_MIN_4_1,08:11:35,08:11:35,NAT_HESHAM_BARAKAT,63
GOV_MIN_4_1,08:15:20,08:15:20,NAT_QOBAA,64
GOV_MIN_4_1,08:19:08,08:19:08,NAT_OMAR_IBN_EL_KHAT,65
GOV_MIN_4_1,08:22:39,08:22:39,NAT_EL_HAYKESTEP,66
GOV_MIN_8_0,06:00:00,06:00:00,2015,1
GOV_MIN_8_0,06:01:10,06:01:10,141,2
GOV_MIN_8_0,06:02:28,06:02:28,142,3
GOV_MIN_8_0,06:04:11,06:04:11,1740,4
GOV_MIN_8_0,06:05:41,06:05:41,1739,5
GOV_MIN_8_0,06:07:11,06:07:11,1740,6
GOV_MIN_8_0,06:10:02,06:10:02,2042,7
GOV_MIN_8_0,06:11:46,06:11:46,1736,8
GOV_MIN_8_0,06:17:33,06:17:33,1725,9
GOV_MIN_8_0,06:18:23,06:18:23,1214,10
GOV_MIN_8_0,06:21:02,06:21:02,749,11
GOV_MIN_8_0,06:24:20,06:24:20,1693,12
GOV_MIN_8_0,06:30:10,06:30:10,1505,13
GOV_MIN_8_0,06:38:33,06:38:33,2677,14
GOV_MIN_8_0,07:00:17,07:00:17,1237,15
GOV_MIN_8_0,07:03:50,07:03:50,310,16
GOV_MIN_8_0,07:04:59,07:04:59,311,17
GOV_MIN_8_0,07:06:54,07:06:54,1211,18
GOV_MIN_8_0,07:11:09,07:11:09,584,19
GOV_MIN_8_1,06:00:00,06:00:00,584,1
GOV_MIN_8_1,06:04:15,06:04:15,1211,2
GOV_MIN_8_1,06:06:10,06:06:10,311,3
GOV_MIN_8_1,06:07:19,06:07:19,310,4
GOV_MIN_8_1,06:10:52,06:10:52,1237,5
GOV_MIN_8_1,06:32:36,06:32:36,2677,6
GOV_MIN_8_1,06:40:59,06:40:59,1505,7
GOV_MIN_8_1,06:46:49,06:46:49,1693,8
GOV_MIN_8_1,06:50:07,06:50:07,749,9
GOV_MIN_8_1,06:52:46,06:52:46,1214,10
GOV_MIN_8_1,06:53:36,06:53:36,1725,11
GOV_MIN_8_1,06:59:23,06:59:23,1736,12
GOV_MIN_8_1,07:01:07,07:01:07,2042,13
GOV_MIN_8_1,07:03:58,07:03:58,1740,14
GOV_MIN_8_1,07:05:28,07:05:28,1739,15
GOV_MIN_8_1,07:06:58,07:06:58,1740,16
GOV_MIN_8_1,07:08:41,07:08:41,142,17
GOV_MIN_8_1,07:09:59,07:09:59,141,18
GOV_MIN_8_1,07:11:09,07:11:09,2015,19
GOV_MIN_9_0,06:00:00,06:00:00,792,1
GOV_MIN_9_0,06:05:25,06:05:25,464,2
GOV_MIN_9_0,06:07:31,06:07:31,1473,3
GOV_MIN_9_0,06:11:06,06:11:06,463,4
GOV_MIN_9_0,06:14:51,06:14:51,1475,5
GOV_MIN_9_0,06:19:47,06:19:47,1499,6
GOV_MIN_9_0,06:25:49,06:25:49,1501,7
GOV_MIN_9_0,06:27:28,06:27:28,112,8
GOV_MIN_9_0,06:29:43,06:29:43,1688,9
GOV_MIN_9_0,06:30:50,06:30:50,1221,10
GOV_MIN_9_0,06:32:33,06:32:33,1690,11
GOV_MIN_9_0,06:34:16,06:34:16,1390,12
GOV_MIN_9_0,06:35:48,06:35:48,1694,13
GOV_MIN_9_0,06:38:07,06:38:07,1698,14
GOV_MIN_9_0,06:39:39,06:39:39,85,15
GOV_MIN_9_0,06:40:22,06:40:22,1696,16
GOV_MIN_9_0,06:42:23,06:42:23,1760,17
GOV_MIN_9_0,06:47:32,06:47:32,2027,18
GOV_MIN_9_0,06:50:31,06:50:31,2031,19
GOV_MIN_9_0,06:51:47,06:51:47,179,20
GOV_MIN_9_0,06:52:54,06:52:54,120,21
GOV_MIN_9_0,06:53:37,06:53:37,2503,22
GOV_MIN_9_0,06:54:22,06:54:22,689,23
GOV_MIN_9_0,06:56:31,06:56:31,2144,24
GOV_MIN_9_0,06:58:30,06:58:30,187,25
GOV_MIN_9_0,07:01:35,07:01:35,185,26
GOV_MIN_9_1,06:00:00,06:00:00,185,1
GOV_MIN_9_1,06:03:05,06:03:05,187,2
GOV_MIN_9_1,06:05:04,06:05:04,2144,3
GOV_MIN_9_1,06:07:13,06:07:13,689,4
GOV_MIN_9_1,06:07:58,06:07:58,2503,5
GOV_MIN_9_1,06:08:41,06:08:41,120,6
GOV_MIN_9_1,06:09:48,06:09:48,179,7
GOV_MIN_9_1,06:11:04,06:11:04,2031,8
GOV_MIN_9_1,06:14:03,06:14:03,2027,9
GOV_MIN_9_1,06:19:12,06:19:12,1760,10
GOV_MIN_9_1,06:21:13,06:21:13,1696,11
GOV_MIN_9_1,06:21:56,06:21:56,85,12
GOV_MIN_9_1,06:23:28,06:23:28,1698,13
GOV_MIN_9_1,06:25:47,06:25:47,1694,14
GOV_MIN_9_1,06:27:19,06:27:19,1390,15
GOV_MIN_9_1,06:29:02,06:29:02,1690,16
GOV_MIN_9_1,06:30:45,06:30:45,1221,17
GOV_MIN_9_1,06:31:52,06:31:52,1688,18
GOV_MIN_9_1,06:34:07,06:34:07,112,19
GOV_MIN_9_1,06:35:46,06:35:46,1501,20
GOV_MIN_9_1,06:41:48,06:41:48,1499,21
GOV_MIN_9_1,06:46:44,06:46:44,1475,22
GOV_MIN_9_1,06:50:29,06:50:29,463,23
GOV_MIN_9_1,06:54:04,06:54:04,1473,24
GOV_MIN_9_1,06:56:10,06:56:10,464,25
GOV_MIN_9_1,07:01:35,07:01:35,792,26
GOV_MIN_10_0,06:00:00,06:00:00,2226,1
GOV_MIN_10_0,06:01:33,06:01:33,2228,2
GOV_MIN_10_0,06:03:27,06:03:27,2223,3
GOV_MIN_10_0,06:05:03,06:05:03,2229,4
GOV_MIN_10_0,06:06:55,06:06:55,2221,5
GOV_MIN_10_0,06:09:40,06:09:40,95,6
GOV_MIN_10_0,06:13:18,06:13:18,1296,7
GOV_MIN_10_0,06:15:06,06:15:06,2123,8
GOV_MIN_10_0,06:16:24,06:16:24,1308,9
GOV_MIN_10_0,06:17:12,06:17:12,728,10
GOV_MIN_10_0,06:19:48,06:19:48,1312,11
GOV_MIN_10_0,06:20:45,06:20:45,2485,12
GOV_MIN_10_0,06:22:43,06:22:43,730,13
GOV_MIN_10_0,06:25:50,06:25:50,2320,14
GOV_MIN_10_0,06:27:53,06:27:53,731,15
GOV_MIN_10_0,06:30:27,06:30:27,1739,16
GOV_MIN_10_0,06:31:57,06:31:57,1740,17
GOV_MIN_10_0,06:33:40,06:33:40,142,18
GOV_MIN_10_0,06:34:58,06:34:58,141,19
GOV_MIN_10_0,06:36:37,06:36:37,733,20
GOV_MIN_10_0,06:38:16,06:38:16,1384,21
GOV_MIN_10_0,06:39:56,06:39:56,129,22
GOV_MIN_10_0,06:41:47,06:41:47,737,23
GOV_MIN_10_0,06:43:28,06:43:28,130,24
GOV_MIN_10_0,06:45:04,06:45:04,131,25
GOV_MIN_10_0,06:46:36,06:46:36,99,26
GOV_MIN_10_0,06:47:57,06:47:57,1759,27
GOV_MIN_10_0,06:50:00,06:50:00,195,28
GOV_MIN_10_0,06:53:57,06:53:57,1255,29
GOV_MIN_10_0,06:55:18,06:55:18,1256,30
GOV_MIN_10_0,07:00:14,07:00:14,697,31
GOV_MIN_10_0,07:08:22,07:08:22,2673,32
GOV_MIN_10_0,07:10:09,07:10:09,2671,33
GOV_MIN_10_0,07:15:50,07:15:50,53,34
GOV_MIN_10_0,07:17:10,07:17:10,478,35
GOV_MIN_10_0,07:19:57,07:19:57,303,36
