table_name,field_name,language,field_value,translation
routes,route_long_name,ar,El Haykestep - Mamaleek (Al Manial),الهايكستب - موقف المماليك (المنيل)
routes,route_short_name,ar,Minibus 4,مينى باص 4
routes,route_long_name,ar,Amiriyyah - Rehab Square,الأميرية - ميدان الرحاب
routes,route_short_name,ar,Minibus 8,مينى باص 8
routes,route_long_name,ar,Salam Station (10th of Ramadan Station) - Al Geish Square,موقف السلام (موقف العاشر) - ميدان الجيش
routes,route_short_name,ar,Minibus 9,مينى باص 9
routes,route_long_name,ar,Ibrahim Bek - Naguib Mahfouz Square (1st Settlement),إبراهيم بك - ميدان نجيب محفوظ (التجمع الأول)
routes,route_short_name,ar,Minibus 10,مينى باص 10
routes,route_long_name,ar,Moasasset Al Zakah - Al Sayeda Nafeesa,مؤسسة الزكاة - السيدة نفيسة
routes,route_short_name,ar,Minibus 17,مينى باص 17
routes,route_long_name,ar,15th of May - Masaken Al Shrouq,15 مايو - مساكن الشروق
routes,route_short_name,ar,Minibus 26,مينى باص 26
routes,route_long_name,ar,Kafr Tuhurmis - Elecrticity Hospital (Suez Rd),كفر طهرمس - مستشفى كهرباء (طريق السويس)
routes,route_short_name,ar,Minibus 37,مينى باص 37
routes,route_long_name,ar,Matbaa - Al Nozha Al Gadida,موقف المطبعة - النزهة الجديدة
routes,route_short_name,ar,Minibus 44,مينى باص 44
routes,route_long_name,ar,Saft Al Laban - Al Mazallaat ( Shubra),صفط اللبن - المظلات ( شبرا)
routes,route_short_name,ar,Minibus 52,مينى باص 52
routes,route_long_name,ar,Saft Al Laban - Masaken Almaza,صفط اللبن - مساكن الماظة
routes,route_short_name,ar,Minibus 53,مينى باص 53
routes,route_long_name,ar,Saft Al Laban - 8th District (Nasr City),صفط اللبن - الحي الثامن (مدينة نصر)
routes,route_short_name,ar,Minibus 57,مينى باص 57
routes,route_long_name,ar,Suez Bridge Entrance to Ring Road - Boulak El-Dakrour,جسر السويس - بولاق الدكرور
routes,route_short_name,ar,Minibus 74,مينى باص 74
routes,route_long_name,ar,Arab Tuweila - Basateen,عرب الطوايله - البساتين
routes,route_short_name,ar,Minibus 79,مينى باص 79
routes,route_long_name,ar,Isko - Al Darraasa,إسكو - الدراسة
routes,route_short_name,ar,Minibus 80,مينى باص 80
routes,route_long_name,ar,Kobry Orabi - Naguib Mahfouz Square (1st Settlement),كوبري عرابي - ميدان نجيب محفوظ (التجمع الأول)
routes,route_short_name,ar,Minibus 81,مينى باص 81
routes,route_long_name,ar,Rod Al Farag Metro Station - Naguib Mahfouz Square (1st Settlement),محطة مترو روض الفرج - ميدان نجيب محفوظ (التجمع الأول)
routes,route_short_name,ar,Minibus 101,مينى باص 101
routes,route_long_name,ar,Salam Station (10th of Ramadan Station) - Attaba,موقف السلام (موقف العاشر) - العتبة
routes,route_short_name,ar,Minibus 106,مينى باص 106
routes,route_long_name,ar,Amiriyyah - 8th District (Nasr City),الأميرية - الحي الثامن (مدينة نصر)
routes,route_short_name,ar,Minibus 115,مينى باص 115
routes,route_long_name,ar,Lebanon Square - Naguib Mahfouz Square (1st Settlement),ميدان لبنان - ميدان نجيب محفوظ (التجمع الأول)
routes,route_short_name,ar,Minibus 125,مينى باص 125
routes,route_long_name,ar,Rod Al Farag Metro Station - Naguib Mahfouz Square (1st Settlement),محطة مترو روض الفرج - ميدان نجيب محفوظ (التجمع الأول)
routes,route_short_name,ar,Minibus 131,مينى باص 131
routes,route_long_name,ar,Naguib Mahfouz Square (1st Settlement) - Al Sayeda Nafeesa,ميدان نجيب محفوظ (التجمع الأول) - السيدة نفيسة
routes,route_short_name,ar,Minibus 136,مينى باص 136
routes,route_long_name,ar,Higher Institute For Hotels & Tourism (Sheraton) - Qawmeya Arabeya,المعهد العالى للفنادق والسياحة (شيراتون) - القومية العربية
routes,route_short_name,ar,Minibus 137,مينى باص 137
routes,route_long_name,ar,Helwan Metro - Al Nozha Al Gadida,مترو حلوان - النزهة الجديدة
routes,route_short_name,ar,Minibus 138,مينى باص 138
routes,route_long_name,ar,El-Qawmia - Al Sayeda Zeinab,القومية العربية - السيدة زينب
routes,route_short_name,ar,Minibus 139,مينى باص 139
