route_id,service_id,trip_headsign,direction_id,shape_id,trip_id
GOV_MIN_4,Ground_Daily,Mamaleek (Al Manial),0,,GOV_MIN_4_0
GOV_MIN_4,Ground_Daily,El Haykestep,1,,GOV_MIN_4_1
GOV_MIN_8,Ground_Daily,Rehab Square,0,,GOV_MIN_8_0
GOV_MIN_8,Ground_Daily,Amiriyyah,1,,GOV_MIN_8_1
GOV_MIN_9,Ground_Daily,Al Geish Square,0,,GOV_MIN_9_0
GOV_MIN_9,Ground_Daily,Salam Station (10th of Ramadan Station),1,,GOV_MIN_9_1
GOV_MIN_10,Ground_Daily,Naguib Mahfouz Square (1st Settlement),0,,GOV_MIN_10_0
GOV_MIN_10,Ground_Daily,Ibrahim Bek,1,,GOV_MIN_10_1
GOV_MIN_17,Ground_Daily,Al Sayeda Nafeesa,0,,GOV_MIN_17_0
GOV_MIN_17,Ground_Daily,Moasasset Al Zakah,1,,GOV_MIN_17_1
GOV_MIN_26,Ground_Daily,Masaken Al Shrouq,0,,GOV_MIN_26_0
GOV_MIN_26,Ground_Daily,15th of May,1,,GOV_MIN_26_1
GOV_MIN_37,Ground_Daily,Elecrticity Hospital (Suez Rd),0,,GOV_MIN_37_0
GOV_MIN_37,Ground_Daily,Kafr Tuhurmis,1,,GOV_MIN_37_1
GOV_MIN_44,Ground_Daily,Al Nozha Al Gadida,0,,GOV_MIN_44_0
GOV_MIN_44,Ground_Daily,Matbaa,1,,GOV_MIN_44_1
GOV_MIN_52,Ground_Daily,Al Mazallaat ( Shubra),0,,GOV_MIN_52_0
GOV_MIN_52,Ground_Daily,Saft Al Laban,1,,GOV_MIN_52_1
GOV_MIN_53,Ground_Daily,Masaken Almaza,0,,GOV_MIN_53_0
GOV_MIN_53,Ground_Daily,Saft Al Laban,1,,GOV_MIN_53_1
GOV_MIN_57,Ground_Daily,8th District (Nasr City),0,,GOV_MIN_57_0
GOV_MIN_57,Ground_Daily,Saft Al Laban,1,,GOV_MIN_57_1
