trip_id,start_time,end_time,headway_secs,exact_times
GOV_MIN_17_0,06:00:00,23:00:00,900,0
GOV_MIN_17_1,06:00:00,23:00:00,900,0
GOV_MIN_23_0,06:00:00,23:00:00,900,0
GOV_MIN_23_1,06:00:00,23:00:00,900,0
GOV_MIN_30_0,06:00:00,23:00:00,900,0
GOV_MIN_30_1,06:00:00,23:00:00,900,0
GOV_MIN_80_0,06:00:00,23:00:00,900,0
GOV_MIN_80_1,06:00:00,23:00:00,900,0
GOV_MIN_89_0,06:00:00,23:00:00,900,0
GOV_MIN_89_1,06:00:00,23:00:00,900,0
GOV_MIN_90_0,06:00:00,23:00:00,900,0
GOV_MIN_90_1,06:00:00,23:00:00,900,0
GOV_MIN_132_0,06:00:00,23:00:00,900,0
GOV_MIN_132_1,06:00:00,23:00:00,900,0
GOV_MIN_146_0,06:00:00,23:00:00,900,0
GOV_MIN_146_1,06:00:00,23:00:00,900,0
GOV_MIN_355_0,06:00:00,23:00:00,900,0
GOV_MIN_355_1,06:00:00,23:00:00,900,0
GOV_MIN_421_0,06:00:00,23:00:00,900,0
GOV_MIN_421_1,06:00:00,23:00:00,900,0
GOV_MIN_755_0,06:00:00,23:00:00,900,0
GOV_MIN_755_1,06:00:00,23:00:00,900,0
GOV_CTA_28_0,06:00:00,23:00:00,900,0
GOV_CTA_28_1,06:00:00,23:00:00,900,0
GOV_CTA_43_0,06:00:00,23:00:00,900,0
GOV_CTA_43_1,06:00:00,23:00:00,900,0
GOV_CTA_203_0,06:00:00,23:00:00,900,0
GOV_CTA_203_1,06:00:00,23:00:00,900,0
GOV_CTA_356_0,06:00:00,23:00:00,900,0
GOV_CTA_356_1,06:00:00,23:00:00,900,0
GOV_CTA_888_0,06:00:00,23:00:00,900,0
GOV_CTA_888_1,06:00:00,23:00:00,900,0
GOV_CTA_922_0,06:00:00,23:00:00,900,0
GOV_CTA_922_1,06:00:00,23:00:00,900,0
GOV_CTA_955_0,06:00:00,23:00:00,900,0
GOV_CTA_955_1,06:00:00,23:00:00,900,0
GOV_CTA_988_0,06:00:00,23:00:00,900,0
GOV_CTA_988_1,06:00:00,23:00:00,900,0
GOV_CTA_990_0,06:00:00,23:00:00,900,0
GOV_CTA_990_1,06:00:00,23:00:00,900,0
GOV_CTA_1008_0,06:00:00,23:00:00,900,0
GOV_CTA_1008_1,06:00:00,23:00:00,900,0
GOV_CTA_1046_0,06:00:00,23:00:00,900,0
GOV_CTA_1046_1,06:00:00,23:00:00,900,0
GOV_CTA_1051_0,06:00:00,23:00:00,900,0
GOV_CTA_1051_1,06:00:00,23:00:00,900,0
GOV_CTA_1059_0,06:00:00,23:00:00,900,0
GOV_CTA_1059_1,06:00:00,23:00:00,900,0
GOV_CTA_1068_0,06:00:00,23:00:00,900,0
GOV_CTA_1068_1,06:00:00,23:00:00,900,0
GOV_CTA_1071_0,06:00:00,23:00:00,900,0
GOV_CTA_1071_1,06:00:00,23:00:00,900,0
GOV_CTA_1085_0,06:00:00,23:00:00,900,0
GOV_CTA_1085_1,06:00:00,23:00:00,900,0
GOV_CTA_1090_0,06:00:00,23:00:00,900,0
GOV_CTA_1090_1,06:00:00,23:00:00,900,0
GOV_CTA_1097_0,06:00:00,23:00:00,900,0
GOV_CTA_1097_1,06:00:00,23:00:00,900,0
GOV_CTA_1105_0,06:00:00,23:00:00,900,0
GOV_CTA_1105_1,06:00:00,23:00:00,900,0
GOV_CTA_1121_0,06:00:00,23:00:00,900,0
GOV_CTA_1121_1,06:00:00,23:00:00,900,0
GOV_CTA_1127_0,06:00:00,23:00:00,900,0
GOV_CTA_1127_1,06:00:00,23:00:00,900,0
GOV_CTA_1144_0,06:00:00,23:00:00,900,0
GOV_CTA_1144_1,06:00:00,23:00:00,900,0
GOV_CTA_1153_0,06:00:00,23:00:00,900,0
GOV_CTA_1153_1,06:00:00,23:00:00,900,0
