trip_id,arrival_time,departure_time,stop_id,stop_sequence
GOV_MIN_17_0,06:00:00,06:00:00,40,1
GOV_MIN_17_0,06:42:29,06:42:29,3018,2
GOV_MIN_17_0,07:15:37,07:15:37,593,3
GOV_MIN_17_0,08:11:13,08:11:13,112,4
GOV_MIN_17_0,08:25:05,08:25:05,99,5
GOV_MIN_17_0,08:39:27,08:39:27,689,6
GOV_MIN_17_0,08:55:46,08:55:46,15,7
GOV_MIN_17_0,09:04:33,09:04:33,684,8
GOV_MIN_17_0,09:16:43,09:16:43,1959,9
GOV_MIN_17_1,06:00:00,06:00:00,1959,1
GOV_MIN_17_1,06:12:10,06:12:10,684,2
GOV_MIN_17_1,06:20:57,06:20:57,15,3
GOV_MIN_17_1,06:37:16,06:37:16,689,4
GOV_MIN_17_1,06:51:38,06:51:38,99,5
GOV_MIN_17_1,07:05:30,07:05:30,112,6
GOV_MIN_17_1,08:01:06,08:01:06,593,7
GOV_MIN_17_1,08:34:14,08:34:14,3018,8
GOV_MIN_17_1,09:16:43,09:16:43,40,9
GOV_MIN_23_0,06:00:00,06:00:00,2526,1
GOV_MIN_23_0,06:14:28,06:14:28,16,2
GOV_MIN_23_0,06:38:14,06:38:14,NAT_EL_GIZA,3
GOV_MIN_23_0,06:54:47,06:54:47,679,4
GOV_MIN_23_0,07:30:59,07:30:59,142,5
GOV_MIN_23_0,07:51:46,07:51:46,185,6
GOV_MIN_23_0,08:05:41,08:05:41,2798,7
GOV_MIN_23_0,08:06:22,08:06:22,722,8
GOV_MIN_23_1,06:00:00,06:00:00,722,1
GOV_MIN_23_1,06:00:41,06:00:41,2798,2
GOV_MIN_23_1,06:14:36,06:14:36,185,3
GOV_MIN_23_1,06:35:23,06:35:23,142,4
GOV_MIN_23_1,07:11:35,07:11:35,679,5
GOV_MIN_23_1,07:28:08,07:28:08,NAT_EL_GIZA,6
GOV_MIN_23_1,07:51:54,07:51:54,16,7
GOV_MIN_23_1,08:06:22,08:06:22,2526,8
GOV_MIN_30_0,06:00:00,06:00:00,1675,1
GOV_MIN_30_0,06:05:33,06:05:33,781,2
GOV_MIN_30_0,06:42:38,06:42:38,689,3
GOV_MIN_30_0,06:50:52,06:50:52,185,4
GOV_MIN_30_0,06:56:50,06:56:50,NAT_BAB_EL_SHAARIA,5
GOV_MIN_30_0,07:37:02,07:37:02,1661,6
GOV_MIN_30_0,08:05:18,08:05:18,223,7
GOV_MIN_30_0,08:09:07,08:09:07,1959,8
GOV_MIN_30_1,06:00:00,06:00:00,1959,1
GOV_MIN_30_1,06:03:49,06:03:49,223,2
GOV_MIN_30_1,06:32:05,06:32:05,1661,3
GOV_MIN_30_1,07:12:17,07:12:17,NAT_BAB_EL_SHAARIA,4
GOV_MIN_30_1,07:18:15,07:18:15,185,5
GOV_MIN_30_1,07:26:29,07:26:29,689,6
GOV_MIN_30_1,08:03:34,08:03:34,781,7
GOV_MIN_30_1,08:09:07,08:09:07,1675,8
GOV_MIN_80_0,06:00:00,06:00:00,786,1
GOV_MIN_80_0,06:07:34,06:07:34,2428,2
GOV_MIN_80_0,06:24:56,06:24:56,NAT_EL_MATAREYYA,3
GOV_MIN_80_0,06:42:11,06:42:11,2798,4
GOV_MIN_80_0,06:48:46,06:48:46,689,5
GOV_MIN_80_0,07:03:51,07:03:51,142,6
GOV_MIN_80_0,07:30:36,07:30:36,1651,7
GOV_MIN_80_1,06:00:00,06:00:00,1651,1
GOV_MIN_80_1,06:26:45,06:26:45,142,2
GOV_MIN_80_1,06:41:50,06:41:50,689,3
GOV_MIN_80_1,06:48:25,06:48:25,2798,4
GOV_MIN_80_1,07:05:40,07:05:40,NAT_EL_MATAREYYA,5
GOV_MIN_80_1,07:23:02,07:23:02,2428,6
GOV_MIN_80_1,07:30:36,07:30:36,786,7
GOV_MIN_89_0,06:00:00,06:00:00,786,1
GOV_MIN_89_0,06:07:34,06:07:34,2428,2
GOV_MIN_89_0,06:15:57,06:15:57,1841,3
GOV_MIN_89_0,06:26:23,06:26:23,1738,4
GOV_MIN_89_0,07:30:06,07:30:06,1661,5
GOV_MIN_89_0,08:01:42,08:01:42,679,6
GOV_MIN_89_0,08:08:03,08:08:03,1959,7
GOV_MIN_89_1,06:00:00,06:00:00,1959,1
GOV_MIN_89_1,06:06:21,06:06:21,679,2
