route_id,service_id,trip_headsign,direction_id,shape_id,trip_id
GOV_MIN_17,ALL,Al Sayeda Nafeesa,0,,GOV_MIN_17_0
GOV_MIN_17,ALL,Moasasset Al Zakah,1,,GOV_MIN_17_1
GOV_MIN_23,ALL,Sekket Al Waili St. (Kobry Al Qobba),0,,GOV_MIN_23_0
GOV_MIN_23,ALL,Kafr Tuhurmis,1,,GOV_MIN_23_1
GOV_MIN_30,ALL,Al Sayeda Nafeesa,0,,GOV_MIN_30_0
GOV_MIN_30,ALL,Zahraa Ain Shams,1,,GOV_MIN_30_1
GOV_MIN_80,ALL,Al Darraasa,0,,GOV_MIN_80_0
GOV_MIN_80,ALL,Isko,1,,GOV_MIN_80_1
GOV_MIN_89,ALL,Al Sayeda Nafeesa,0,,GOV_MIN_89_0
GOV_MIN_89,ALL,Isko,1,,GOV_MIN_89_1
GOV_MIN_90,ALL,El-Giza,0,,GOV_MIN_90_0
GOV_MIN_90,ALL,Isko,1,,GOV_MIN_90_1
GOV_MIN_132,ALL,Qawmeya Arabeya Secondary Bus Station,0,,GOV_MIN_132_0
GOV_MIN_132,ALL,Moasasset Al Zakah,1,,GOV_MIN_132_1
GOV_MIN_146,ALL,Al Sayeda Nafeesa,0,,GOV_MIN_146_0
GOV_MIN_146,ALL,Kafr AL Shurafa,1,,GOV_MIN_146_1
GOV_MIN_355,ALL,Al Khanka (Al Salam Rd.),0,,GOV_MIN_355_0
GOV_MIN_355,ALL,Ataba,1,,GOV_MIN_355_1
GOV_MIN_421,ALL,Al Sayeda Nafeesa,0,,GOV_MIN_421_0
GOV_MIN_421,ALL,Al Khosous,1,,GOV_MIN_421_1
GOV_MIN_755,ALL,Saqr Quraish,0,,GOV_MIN_755_0
GOV_MIN_755,ALL,Om Bayoumi,1,,GOV_MIN_755_1
GOV_CTA_28,ALL,Abd Al Moneim Riad,0,,GOV_CTA_28_0
GOV_CTA_28,ALL,Om Bayoumi,1,,GOV_CTA_28_1
GOV_CTA_43,ALL,Bab El Shaaria,0,,GOV_CTA_43_0
GOV_CTA_43,ALL,El-Matareyya,1,,GOV_CTA_43_1
GOV_CTA_203,ALL,Bulaq Al Dakrur,0,,GOV_CTA_203_0
GOV_CTA_203,ALL,Om Bayoumi,1,,GOV_CTA_203_1
GOV_CTA_356,ALL,Abd Al Moneim Riad,0,,GOV_CTA_356_0
GOV_CTA_356,ALL,Cairo Airport,1,,GOV_CTA_356_1
GOV_CTA_888,ALL,Ahmed Helmy,0,,GOV_CTA_888_0
GOV_CTA_888,ALL,Moneeb,1,,GOV_CTA_888_1
GOV_CTA_922,ALL,Abbaseya Square,0,,GOV_CTA_922_0
GOV_CTA_922,ALL,Saqr Quraish,1,,GOV_CTA_922_1
GOV_CTA_955,ALL,Abd Al Moneim Riad,0,,GOV_CTA_955_0
GOV_CTA_955,ALL,El Haykestep,1,,GOV_CTA_955_1
GOV_CTA_988,ALL,Ramses,0,,GOV_CTA_988_0
GOV_CTA_988,ALL,Badrashen,1,,GOV_CTA_988_1
GOV_CTA_990,ALL,Giza Square,0,,GOV_CTA_990_0
GOV_CTA_990,ALL,Masaken Ain Shams,1,,GOV_CTA_990_1
GOV_CTA_1008,ALL,Masaken Al Wehda,0,,GOV_CTA_1008_0
GOV_CTA_1008,ALL,Saqr Quraish,1,,GOV_CTA_1008_1
GOV_CTA_1046,ALL,Hadayek Al Qobba,0,,GOV_CTA_1046_0
GOV_CTA_1046,ALL,Moneeb,1,,GOV_CTA_1046_1
GOV_CTA_1051,ALL,Cairo Airport,0,,GOV_CTA_1051_0
GOV_CTA_1051,ALL,Shubra El-Kheima,1,,GOV_CTA_1051_1
GOV_CTA_1059,ALL,Al Sayeda Zeinab,0,,GOV_CTA_1059_0
GOV_CTA_1059,ALL,Amiriyyah,1,,GOV_CTA_1059_1
GOV_CTA_1068,ALL,Abbaseya,0,,GOV_CTA_1068_0
GOV_CTA_1068,ALL,Lebanon Square,1,,GOV_CTA_1068_1
GOV_CTA_1071,ALL,Masaken Al Wehda,0,,GOV_CTA_1071_0
GOV_CTA_1071,ALL,Marioteyya,1,,GOV_CTA_1071_1
GOV_CTA_1085,ALL,Bulaq Al Dakrur,0,,GOV_CTA_1085_0
GOV_CTA_1085,ALL,Al Sayeda Aisha,1,,GOV_CTA_1085_1
GOV_CTA_1090,ALL,Al Abageyya,0,,GOV_CTA_1090_0
GOV_CTA_1090,ALL,Amiriyyah,1,,GOV_CTA_1090_1
GOV_CTA_1097,ALL,Lebanon Square,0,,GOV_CTA_1097_0
GOV_CTA_1097,ALL,8th District (6th of October),1,,GOV_CTA_1097_1
GOV_CTA_1105,ALL,Al Omraneyya,0,,GOV_CTA_1105_0
GOV_CTA_1105,ALL,Abbaseya Square,1,,GOV_CTA_1105_1
GOV_CTA_1121,ALL,Abd Al Moneim Riad,0,,GOV_CTA_1121_0
GOV_CTA_1121,ALL,Al Nozha Al Gadeeda,1,,GOV_CTA_1121_1
GOV_CTA_1127,ALL,3rd Settlement Station,0,,GOV_CTA_1127_0
GOV_CTA_1127,ALL,Bulaq Al Dakrur,1,,GOV_CTA_1127_1
GOV_CTA_1144,ALL,Ibrahim Bek,0,,GOV_CTA_1144_0
GOV_CTA_1144,ALL,Al Abageyya,1,,GOV_CTA_1144_1
GOV_CTA_1153,ALL,Abd Al Moneim Riad,0,,GOV_CTA_1153_0
GOV_CTA_1153,ALL,Helwan,1,,GOV_CTA_1153_1
